x,y,first_image,second_image,rad,type
690,435,target_winecellar.png,target_winecellar_green_(690,435)_dist80.png,43.5,green
945,180,target_courtroom.png,target_courtroom_red_(945,180)_dist80.png,43.5,red
843,231,target_fishingvillage.png,target_fishingvillage_green_(843,231)_dist80.png,43.5,green
282,180,target_stable.png,target_stable_green_(282,180)_dist80.png,43.5,green
945,486,target_playground.png,target_playground_green_(945,486)_dist80.png,43.5,green
537,486,target_atticRoom.png,target_atticRoom_green_(537,486)_dist80.png,43.5,green
894,639,target_bathroom.png,target_bathroom_red_(894,639)_dist80.png,43.5,red
792,537,target_treehouse.png,target_treehouse_green_(792,537)_dist80.png,43.5,green
843,78,target_garage.png,target_garage_red_(843,78)_dist80.png,43.5,red
741,78,target_hospital.png,target_hospital_red_(741,78)_dist80.png,43.5,red
129,690,target_hardwarestore.png,target_hardwarestore_green_(129,690)_dist80.png,43.5,green
690,639,target_coffeeshop.png,target_coffeeshop_red_(690,639)_dist80.png,43.5,red
537,639,target_refrigerator.png,target_refrigerator_red_(537,639)_dist80.png,43.5,red
78,333,target_mediaroom.png,target_mediaroom_green_(78,333)_dist80.png,43.5,green
282,282,target_clothingstore.png,target_clothingstore_green_(282,282)_dist80.png,43.5,green
384,129,target_forrest.png,target_forrest_green_(384,129)_dist80.png,43.5,green
435,690,target_ranch.png,target_ranch_red_(435,690)_dist80.png,43.5,red
588,639,target_porch.png,target_porch_green_(588,639)_dist80.png,43.5,green
78,180,target_temple.png,target_temple_red_(78,180)_dist80.png,43.5,red
792,333,target_bakery.png,target_bakery_green_(792,333)_dist80.png,43.5,green
741,231,target_soccerfield.png,target_soccerfield_green_(741,231)_dist80.png,43.5,green
639,78,target_church.png,target_church_red_(639,78)_dist80.png,43.5,red
180,435,target_backyard.png,target_backyard_green_(180,435)_dist80.png,43.5,green
129,588,target_mountain.png,target_mountain_red_(129,588)_dist80.png,43.5,red
333,333,target_cemetery.png,target_cemetery_green_(333,333)_dist80.png,43.5,green
588,180,target_tunnel.png,target_tunnel_green_(588,180)_dist80.png,43.5,green
843,537,target_marsh.png,target_marsh_green_(843,537)_dist80.png,43.5,green
78,333,target_recordingstudio.png,target_recordingstudio_green_(78,333)_dist80.png,43.5,green
231,231,target_airport.png,target_airport_red_(231,231)_dist80.png,43.5,red
588,180,target_constructionsite.png,target_constructionsite_green_(588,180)_dist80.png,43.5,green
945,78,target_dentistoffice.png,target_dentistoffice_red_(945,78)_dist80.png,43.5,red
78,384,target_swamp.png,target_swamp_red_(78,384)_dist80.png,43.5,red
894,639,target_park.png,target_park_red_(894,639)_dist80.png,43.5,red
180,690,target_bedroom.png,target_bedroom_red_(180,690)_dist80.png,43.5,red
792,639,target_sewingroom.png,target_sewingroom_red_(792,639)_dist80.png,43.5,red
78,537,target_hairsalon.png,target_hairsalon_red_(78,537)_dist80.png,43.5,red
843,639,target_artstudio.png,target_artstudio_red_(843,639)_dist80.png,43.5,red
231,486,target_stream.png,target_stream_red_(231,486)_dist80.png,43.5,red
129,333,target_laundryroom.png,target_laundryroom_red_(129,333)_dist80.png,43.5,red
129,180,target_nursery.png,target_nursery_red_(129,180)_dist80.png,43.5,red
282,435,target_patio.png,target_patio_green_(282,435)_dist80.png,43.5,green
843,282,target_closet.png,target_closet_green_(843,282)_dist80.png,43.5,green
741,231,target_library.png,target_library_red_(741,231)_dist80.png,43.5,red
843,639,target_deli.png,target_deli_green_(843,639)_dist80.png,43.5,green
588,690,target_buffet.png,target_buffet_red_(588,690)_dist80.png,43.5,red
486,180,target_canyon.png,target_canyon_green_(486,180)_dist80.png,43.5,green
945,690,target_diner.png,target_diner_red_(945,690)_dist80.png,43.5,red
333,435,target_beach.png,target_beach_green_(333,435)_dist80.png,43.5,green
129,384,target_classroom.png,target_classroom_red_(129,384)_dist80.png,43.5,red
435,78,target_field.png,target_field_red_(435,78)_dist80.png,43.5,red
945,78,target_ruins.png,target_ruins_green_(945,78)_dist80.png,43.5,green
639,384,target_grassland.png,target_grassland_green_(639,384)_dist80.png,43.5,green
690,78,target_waterfall.png,target_waterfall_green_(690,78)_dist80.png,43.5,green
129,690,target_toystore.png,target_toystore_red_(129,690)_dist80.png,43.5,red
